id,year,date,month,site,treatment,plot_id,taxon,plant_height_cm,individual_nr,nr_leaves,bulk,wet_mass_total_g,dry_mass_total_g,leaf_thickness_1_mm,leaf_thickness_2_mm,leaf_thickness_3_mm,leaf_area_total_cm2,number_leaves_scan
JAH6480,2019,2019-11-24T00:00:00Z,November,TRE,B,5,Gamochaeta americana,3,3,5,"NA",0.084,0.025,0.232,0.241,0.238,5.2058,5
JAI8858,2019,2019-11-24T00:00:00Z,November,TRE,B,3,Rhynchospora macrochaeta,24,1,1,"NA",0.255,0.123,0.28,0.307,0.258,8.5494,1
JAJ4630,2019,2019-11-24T00:00:00Z,November,TRE,B,3,Laestadia musicola,2.7,1,NA,Bulk,0.1,0.042,0.146,0.158,0.154,7.8362,NA
JAK4052,2019,2019-11-23T00:00:00Z,November,ACJ,NB,5,Vaccinium floribundum,42,3,5,"NA",0.294,0.157,0.588,0.581,0.53,6.9701,5
JAL9162,2019,2019-11-24T00:00:00Z,November,TRE,B,5,Agrostis sp2,14,3,5,"NA",0.064,0.028,0.256,0.242,0.26,4.7521,5
JAM1381,2019,2019-11-24T00:00:00Z,November,TRE,B,3,Luzula narrow,12,1,3,"NA",0.117,0.074,0.22,0.24,0.27,6.0357,3
GIC7511,2019,2019-04-18T00:00:00Z,April,QUE,B,5,Carex pichinchensis,24,4,1,"NA",0.479,0.17,0.258,0.274,0.262,15.110900000000001,1
JAP7676,2019,2019-11-26T00:00:00Z,November,WAY,C,1,Gentiana sedifolia,12,1,NA,Bulk,0.034,0.011,0.185,0.27,0.172,2.1459,21
JAQ1723,2019,2019-11-24T00:00:00Z,November,TRE,B,3,Gaultheria glomerata,3.5,1,5,"NA",0.154,0.063,0.432,0.4,0.473,5.232,5
JAR7088,2019,2019-11-24T00:00:00Z,November,TRE,B,5,Agrostis sp2,16.5,2,5,"NA",0.055,0.025,0.25,0.272,0.261,3.9049,5
JAS6827,2019,2019-11-24T00:00:00Z,November,TRE,B,5,Luzula narrow,14,3,3,"NA",0.127,0.062,0.245,0.225,0.253,5.8721,3
JAT1012,2019,2019-11-24T00:00:00Z,November,TRE,B,3,Agrostis sp2,4.7,3,5,"NA",0.02,0.01,0.228,0.232,0.245,1.5294,6
GIK5150,2019,2019-04-18T00:00:00Z,April,QUE,B,5,Carex pichinchensis,17,1,1,"NA",0.201,0.078,0.206,0.198,0.165,8.6629,1
JAV3031,2019,2019-11-23T00:00:00Z,November,ACJ,NB,3,Jamesonia alstonii,29,3,1,"NA",0.261,0.11,0.205,0.271,0.341,6.0176,1
